Year,Month,Day,Region,Site,Fisher,Method,sector,Fish no.,HL,Width,Whole Weight,Mantle weight,Quill length,Sex,Stage,OW.testes,NW.sperm,ODV.vasdeferens,OV.penis,Whole.nadWt,Nads kept,Mated,Comments
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130743,276,289,930.7,275.9,276,F,5,33.99,28.91,9.17,,72.07,ü,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130750,269,196,877.7,250.1,269,F,5,41.78,36.12,10.42,,88.32,ü,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130751,243,186,726.3,223.4,246,F,5,36.33,25.44,7.15,,68.92,ü,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130752,204,150,425.7,134.6,204,F,5,21.17,14.08,4.45,,39.7,ü,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130753,280,207,1041.9,313.9,282,F,5,56.61,40.82,11.52,,108.95,ü,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130754,233,177,614.8,200.6,235,F,5,32.81,24.7,6.74,,64.25,,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130756,241,161,657.5,193.1,246,F,5,36.4,23.88,6.94,,67.22,,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130757,226,174,606.4,181.1,227,F,5,34.6,23.49,8.23,,66.32,,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130758,204,161,477.3,155.2,208,F,5,17.28,11.65,4.06,,32.99,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130760,194,144,289.6,94.6,193,F,5,17.13,10.62,3.2,,30.95,ü,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130761,176,140,263.8,87.9,176,F,3,0.55,0.76,0.34,,1.65,ü,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130762,182,132,283.9,90.7,183,F,3,0.38,0.21,0.13,,0.72,ü,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130764,167,121,189.9,63.9,165,F,2,0.28,0.15,0.08,,0.51,ü,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130765,171,133,201.7,70.5,169,F,2,0.25,0.23,0.11,,0.59,ü,,Pics of nad taken
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130766,159,100,171.9,58.2,159,F,2,0.55,0.42,0.23,,1.2,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130767,140,107,130.4,44,141,F,2,0.12,0.1,0.07,,0.29,ü,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130770,160,114,177.2,61.5,160,F,2,0.2,0.26,0.11,,0.57,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130772,161,121,204.8,65.2,162,F,2,0.28,0.17,0.08,,0.53,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130775,208,160,381.8,116.4,204,F,5,12.59,10.01,3.09,,25.69,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130778,172,139,231.8,76.1,171,F,2,0.3,0.35,0.24,0.06,0.95,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130779,178,139,256.7,87.1,175,F,2,0.43,0.37,0.21,,1.01,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130780,151,129,191.1,57.5,152,F,2,0.26,0.16,0.13,,0.55,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130783,131,114,114.5,39.7,131,F,2,0.18,0.09,0.08,,0.35,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130784,156,109,176.7,60.5,154,F,2,0.2,0.12,0.07,,0.39,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130785,169,131,223,73.2,169,F,2,0.46,0.3,0.11,,0.87,,,
2013,4,2,Metro,Cockburn Sound (South Mole to FYC),Spinella,,Commercial,130786,174,127,220.7,76.6,173,F,5,4.21,3.9,1.29,,9.4,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130792,186,147,295.5,87.2,182,F,3,0.68,0.5,0.26,,1.44,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130795,100,65,47.2,16.9,99,F,1,0.06,0.03,0.01,,0.1,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130796,199,152,320.5,95.7,197,F,3,0.63,0.6,0.32,,1.55,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130798,208,160,381.4,113.8,207,F,5,11.79,9.47,1.76,1.08,24.1,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130802,140,115,134.3,42.8,141,F,2,0.23,0.09,0.05,,0.37,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130803,175,128,213.1,68,171,F,2,0.47,0.25,0.12,,0.84,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130805,144,117,137.6,44,145,F,2,0.29,0.07,0.09,,0.45,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130806,176,128,228,70.9,173,F,3,0.41,0.22,0.1,,0.73,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130810,163,125,207.8,63.6,164,F,3,0.49,0.22,0.15,,0.86,,,
2013,4,18,Geographe Bay,Seista Park,,,Research,130816,202,149,334.9,98.3,203,F,4,1.34,2.98,0.96,,5.28,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130817,218,170,444.8,143.1,218,F,3,0.86,1.24,0.68,,2.78,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130818,162,119,175.5,58.8,160,F,2,0.28,0.18,0.11,,0.57,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130819,160,129,173.1,55.7,160,F,2,0.35,0.2,0.12,,0.67,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130821,143,116,134.4,43.1,144,F,2,0.26,0.07,0.05,,0.38,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130822,199,152,338.9,114.2,198,F,3,0.65,0.38,0.26,,1.29,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130823,144,105,144.6,50,147,F,2,0.24,0.23,0.08,,0.55,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130824,200,163,336.4,100.4,203,F,5,24.73,12.8,3.79,,41.32,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130827,231,182,527.9,160.9,232,F,5,21.95,16.31,5.72,,43.98,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130828,190,157,313,102.5,190,F,2,0.72,0.73,0.35,,1.8,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130829,202,142,318.7,107.5,197,F,5,10,8.34,2.73,,21.07,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130831,187,135,274.9,96.9,186,F,4,0.96,1.2,0.5,,2.66,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130835,202,142,359.9,110.9,202,F,5,21.78,13.43,4.3,,39.51,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130842,187,140,264.4,89.8,187,F,3,0.88,1.44,0.51,,2.83,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130843,154,116,164.4,58,152,F,2,0.24,0.12,0.08,,0.44,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130845,155,114,173.1,56.5,153,F,3,0.29,0.16,0.13,,0.58,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130846,185,141,256.6,81.3,183,F,2,0.46,0.15,0.11,,0.72,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130850,165,130,222.6,65.6,166,F,2,0.35,0.15,0.11,,0.61,,,
2013,5,6,Metro,Cockburn Sound (FYC to Carnac Is.),Spinella,,Commercial,130851,184,137,291.2,87.3,181,F,5,8.74,5.21,1.6,,15.55,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130856,198,154,375,112.1,198,F,4,1.7,3.94,1.17,,6.81,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130859,192,137,273.1,92.9,192,F,3,1.1,2.18,0.74,,4.02,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130860,186,151,258.5,86,186,F,3,0.94,1.54,0.6,,3.08,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130862,190,149,265.7,35.3,190,F,2,0.43,0.3,0.16,,0.89,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130865,126,106,91.9,31.5,126,F,2,0.16,0.01,0.05,,0.22,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130866,142,119,139.6,46,142,F,2,0.3,0.13,0.09,,0.52,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130869,120,98,91.1,30.3,121,F,2,0.19,0.09,0.05,,0.33,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130870,132,92,107.5,36.4,132,F,2,0.2,0.03,0.06,,0.29,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130872,117,90,78.4,27.9,116,F,2,0.14,0.04,0.01,,0.19,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130874,206,170,405.3,125.8,205,F,3,0.98,1.65,0.71,,3.34,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130879,246,176,511.8,147.6,247,F,5,16.08,14.47,4.47,,35.02,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130884,171,129,221.9,74.8,170,F,2,0.48,0.26,0.2,,0.94,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130887,133,96,123.4,41,133,F,2,0.15,0.08,0.05,,0.28,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130889,120,101,91.4,31.4,121,F,2,0.09,0.06,0.05,,0.2,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130892,139,108,125.4,41.4,139,F,2,0.25,0.14,0.07,,0.46,,,
2013,5,6,Geographe Bay,Seista Park,,,Research,130894,143,120,151.9,57.3,143,F,2,0.33,0.14,0.07,,0.54,,,
2013,3,4,Metro,Cockburn Sound (S. Garden Is.),Alan Miles,,Recreational,130896,192,128,286.4,102.2,191,F,3,0.94,0.84,0.4,,2.18,,,
2013,3,24,Geographe Bay,Abbey BR,Rob Sewell,,Recreational,130898,192,123,281.2,89.5,189,F,5,2.52,3.6,1.23,,7.35,,,
2013,3,30,Geographe Bay,Abbey BR,Rob Sewell,,Recreational,130903,204,160,367.9,116.2,203,F,5,24.33,15.47,4.7,,44.5,,,
2013,3,30,Geographe Bay,Abbey BR,Rob Sewell,,Recreational,130905,179,130,244.7,84.9,180,F,3,,0.56,0.31,,0.87,,,
2013,4,14,Albany,King George Sound - Quaranup,,,Recreational,130906,,,,,255,F,5,35,32.92,9.58,,77.5,,,
2013,4,14,Albany,King George Sound - Quaranup,,,Recreational,130907,,,,,238,F,5,24.59,27.29,9.33,,61.21,,,
2013,4,14,Albany,King George Sound - Quaranup,,,Recreational,130908,,,,,232,F,5,22.49,22.1,6.4,,50.99,,,
2013,4,9,Albany,King George Sound - Brambles Bch,A. Jarvis,,Recreational,130910,225,153,437.6,123.6,223,F,5,41.68,30.64,9.79,,82.11,,,
2013,4,9,Albany,King George Sound - Brambles Bch,A. Jarvis,,Recreational,130911,154,122,179.5,62.7,154,F,2,0.44,0.11,0.04,,0.59,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130914,220,156,466.8,146.7,220,F,5,20,11.5,3.44,,34.94,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130917,255,193,744.8,225.4,256,F,5,29.73,20.03,5.38,,55.14,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130918,246,192,684.2,200.6,247,F,5,42.25,26.74,7.99,,76.98,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130923,227,173,541.5,161.8,226,F,5,34.81,24.71,6.81,,66.33,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130924,200,152,349,122.3,200,F,4,0.88,1.67,0.7,,3.25,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130926,209,152,367.8,118.7,209,F,5,15.54,11.4,3.65,,30.59,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130928,243,187,658.9,221.9,246,F,5,36.7,28.32,8.56,,73.58,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130933,185,142,291.7,97.2,187,F,5,9.13,5.33,1.68,,16.14,,,
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130939,194,146,275.8,97.8,194,F,3,,0.39,0.14,,,,,no ovary weight
2013,5,25,Albany,King George Sound - limestone,Jackman,,Commercial,130940,173,129,228.8,77.1,174,F,5,7.54,4.96,1.51,,14.01,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130943,232,172,597.7,173.6,231,F,5,29.58,19.34,5.81,,54.73,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130947,251,179,659.2,185.4,248,F,5,30.38,20.52,6.47,,57.37,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130950,252,196,716.2,190.5,252,F,5,30.81,22.05,6.82,,59.68,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130951,230,162,542.3,171.2,230,F,5,13.96,10.58,,,24.54,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130958,226,179,530.8,174.8,227,F,3,1.61,3.7,,,5.31,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130960,257,198,698.4,206.7,255,F,5,23.3,18,,,41.3,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130961,242,184,686.9,203.8,241,F,4,3.23,5.9,,,9.13,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130966,261,201,767.3,222.9,260,F,5,35.38,33.5,,,68.88,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130967,192,136,329.4,108.7,192,F,5,6.33,5.07,,,11.4,,,
2013,6,15,Albany,King George Sound,Jackman,,Commercial,130969,198,153,366.5,107.2,195,F,5,19.39,11.03,,,30.42,,,
2013,6,20,Geographe Bay,,,,Research,130974,206,166,350.8,110.2,204,F,5,5.22,5.85,,,11.07,,,
2013,6,20,Geographe Bay,,,,Research,130975,131,104,96.2,31.4,130,F,2,0.16,0.08,,,0.24,,,
2013,6,20,Geographe Bay,,,,Research,130978,173,138,222.7,76.4,172,F,3,0.61,0.97,0.43,,2.01,,,
2013,6,20,Geographe Bay,,,,Research,130982,182,143,231.7,181,182,F,3,0.77,1.3,0.53,,2.6,,,
2013,6,20,Geographe Bay,,,,Research,130984,170,130,191.9,66.3,168,F,2,0.31,0.18,0.06,,0.55,,,
2013,6,20,Geographe Bay,,,,Research,130986,190,140,265.6,93.9,188,F,3,0.82,1.6,0.62,,3.04,,,
2013,6,20,Geographe Bay,,,,Research,130988,210,166,362.7,121.4,210,F,5,3.71,6.03,1.83,,11.57,,,
2013,6,20,Geographe Bay,,,,Research,130991,190,150,264.8,88.5,187,F,3,1.13,2.25,0.8,,4.18,,,
2013,6,20,Geographe Bay,,,,Research,130993,190,130,246.8,82.3,188,F,3,0.53,0.45,0.23,,1.21,,,
2013,6,20,Geographe Bay,,,,Research,130998,139,106,124.6,43.2,140,F,2,0.51,0.08,0.04,,0.63,,,
2013,6,20,Geographe Bay,,,,Research,130999,217,150,352.4,103.1,216,F,5,9.99,8.68,2.42,,21.09,,,
2013,6,20,Geographe Bay,,,,Research,131002,183,134,245.8,81,182,F,4,0.95,2.34,0.89,,4.18,,,
2013,6,20,Geographe Bay,,,,Research,131003,146,108,140.3,46.4,147,F,2,0.11,0.09,0.05,,0.25,,,
2013,6,20,Geographe Bay,,,,Research,131004,198,143,312.3,101.6,198,F,3,1.06,1.75,0.73,,3.54,,,
2013,6,20,Geographe Bay,,,,Research,131007,175,129,221.6,72.1,173,F,2,0.54,0.3,0.14,,0.98,,,
2013,6,20,Geographe Bay,,,,Research,131009,208,152,339.8,102.7,208,F,2,0.46,0.22,0.15,,0.83,,,
2013,6,20,Geographe Bay,,,,Research,131010,144,103,118.5,41.1,143,F,2,0.26,0.06,0.01,,0.33,,,
2013,6,20,Geographe Bay,,,,Research,131015,185,138,258.2,85.1,183,F,3,0.68,1.33,0.51,,2.52,,,
2013,6,20,Geographe Bay,,,,Research,131016,174,130,202.7,61.8,173,F,3,0.52,0.81,0.33,,1.66,,,
2013,6,20,Geographe Bay,,,,Research,131020,206,170,371.9,114.6,206,F,2,0.43,0.32,0.16,,0.91,,,
2013,6,20,Geographe Bay,,,,Research,131021,158,112,161.1,52,157,F,2,0.33,0.15,0.2,,0.68,,,
2013,6,20,Geographe Bay,,,,Research,131022,184,134,234.8,64.5,181,F,5,10.41,6.76,2.29,,19.46,,,
2013,6,20,Geographe Bay,Busselton Jetty,Warrick Upton,,Recreational,131033,142,97,117.8,40.7,142,F,2,0.09,0.08,0.03,,0.2,,,
2013,4,10,Metro,Garden Is. Coat Hanger Bridge,Alan Miles,,Recreational,131036,,,,,197,F,3,0.19,1.01,0.54,,1.74,,,
2013,4,10,Metro,Garden Is. Coat Hanger Bridge,Alan Miles,,Recreational,131040,,,,,184,F,3,0.13,0.68,0.42,,1.23,,,
2013,4,10,Metro,Garden Is. Coat Hanger Bridge,Alan Miles,,Recreational,131041,,,,,215,F,5,6.7,14.86,4.7,,26.26,,,
2013,4,8,Metro,Mangles Bay,Alan Miles,,Recreational,131042,,,,,158,F,3,0.09,0.07,0.05,,0.21,,,
2013,4,8,Metro,Mangles Bay,Alan Miles,,Recreational,131045,,,,,132,F,2,0.06,0.04,0.05,,0.15,,,
2013,5,7,Metro,Mersey Pt,Alan Miles,,Recreational,131046,,,,,133,F,2,0.05,0.05,0.03,,0.13,,,
2013,5,7,Metro,Mersey Pt,Alan Miles,,Recreational,131047,,,,,,F,3,0.06,0.36,0.18,,0.6,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131051,178,130,240.7,81.1,176,F,3,0.38,0.48,0.27,,1.13,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131052,124,,97.9,31.1,124,F,2,0.11,0.07,0.04,,0.22,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131053,125,87,86.8,30.5,123,F,2,0.1,0.07,0.02,,0.19,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131055,126,84,101.4,30.7,126,F,2,0.14,0.09,0.04,,0.27,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131056,126,87,89.8,31.4,124,F,1,0.05,0.04,0.02,,0.11,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131057,168,109,190.9,59.9,167,F,3,0.27,0.29,0.14,,0.7,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131059,150,105,150.9,47.1,149,F,2,0.19,0.12,0.06,,0.37,,,
2013,4,13,Metro,Garden Is.,Daniel Yeoh,,Recreational,131060,128,89,92.7,29.2,123,F,2,0.09,0.04,0.02,,0.15,,,
2013,4,6,Metro,Sulfur Bay,Daniel Yeoh,,Recreational,131062,145,102,141.5,52,145,F,2,0.14,0.13,0.08,,0.35,,,
2013,4,6,Metro,Sulfur Bay,Daniel Yeoh,,Recreational,131063,125,95,94.6,31.6,123,F,2,0.07,0.05,0.02,,0.14,,,
2013,4,6,Metro,Sulfur Bay,Daniel Yeoh,,Recreational,131065,130,89,93.2,30.2,129,F,2,0.05,0.04,0.02,,0.11,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131067,157,107,171.3,62.4,156,F,2,0.14,0.18,0.11,,0.43,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131070,121,87,90.8,29.5,121,F,2,0.03,0.06,0.03,,0.12,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131071,150,100,138.7,50.3,150,F,2,0.09,0.11,0.04,,0.24,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131072,138,108,129.2,43.1,138,F,2,0.03,0.09,0.02,,0.14,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131073,160,111,176.6,60.7,158,F,2,0.1,0.15,0.08,,0.33,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131076,121,97,93.4,32,121,F,2,0.04,0.09,0.02,,0.15,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131077,150,108,148.2,53.3,148,F,2,0.1,0.12,0.06,,0.28,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131078,139,109,134.3,46.7,138,F,2,0.1,0.11,0.08,,0.29,,,
2013,4,28,Metro,Parmelia Bank,Daniel Yeoh,,Recreational,131079,131,109,113.5,37.7,130,F,2,0.05,0.07,0.04,,0.16,,,
2013,5,15,Geographe Bay,Geographe Bay YC,Andy Smith,,Recreational,131085,183,135,232.7,81.5,180,F,3,0.36,1.08,0.5,,1.94,,,
2013,5,15,Geographe Bay,Geographe Bay YC,Andy Smith,,Recreational,131086,,,,,,F,5,4.98,6.38,1.99,,13.35,,,no statoliths
2013,6,28,Metro,Parmelia Bank,,,Research,131091,206,154,327.6,112.2,204,F,4,2.15,5.28,1.52,,8.95,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131092,194,,296,102.3,192,F,3,0.56,1.02,0.51,,2.09,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131093,214,,403.5,129.7,212,F,5,20.67,16.95,4.74,,42.36,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131094,200,,341.5,113.3,198,F,3,0.67,1.44,0.68,,2.79,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131096,190,,259.5,90.6,188,F,4,3.84,4.1,1.32,,9.26,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131097,182,,265.8,89.4,183,F,5,5.52,5.49,1.69,,12.7,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131103,220,,420.2,118.7,218,F,5,32.5,20.68,6.08,,59.26,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131105,191,,186.7,96.1,191,F,3,0.84,1.93,0.75,,3.52,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131106,195,,314.7,104.8,195,F,5,14.13,10,2.92,,27.05,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131107,157,,178.7,60.2,159,F,3,0.31,0.35,0.15,,0.81,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131108,179,,265.7,87.3,180,F,3,0.46,0.82,0.31,,1.59,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131109,156,,195.9,59.6,158,F,2,0.23,0.13,0.07,,0.43,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131112,162,,215.9,71.7,161,F,2,0.32,0.25,0.12,,0.69,,,
2013,6,28,Metro,Parmelia Bank,,,Research,131115,135,,129.8,44.1,137,F,2,0.23,0.1,0.06,,0.39,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131118,,,,,153,F,2,0.25,,,,,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131119,,,,,147,F,2,0.19,,,,,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131120,,,,,154,F,2,0.29,0.2,0.04,,,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131121,,,,,198,F,5,6.15,,,,,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131125,,,,,216,F,5,10.33,,1.27,,,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131126,,,,,162,F,2,0.35,0.39,0.14,,0.88,,,
2013,6,30,Metro,Parmelia Bank,Mangles Bay Fishing Club,,Recreational,131128,,,,,170,F,3,0.42,1.03,0.39,,1.84,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131131,,,,,226,F,5,12.12,12.55,4.94,,29.61,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131132,,,,,216,F,5,,,,,,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131133,,,,,274,F,5,12.67,15.37,4.37,,32.41,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131134,,,,,190,F,5,6.18,7.65,2.5,,16.33,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131135,,,,,190,F,5,3.19,9.83,3.51,,16.53,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131136,,,,,210,F,5,18.22,11.9,3.94,,34.06,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131137,,,,,181,F,5,6.74,,3.72,,,,,
2013,6,30,Metro,Mangles Bay - West,Mangles Bay Fishing Club,,Recreational,131138,,,,,208,F,5,4.31,10.6,3.11,,18.02,,,
